sequenceID,min.log.lambda,max.log.lambda
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.884725674147,13.3866852091863
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3601082990161,12.1496501099663
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,10.5972442377816,12.6488394834341
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,9.30254286025346,12.6158716656714
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.8804100934503,13.1476747690402
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5158951803492,12.4973607343554
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,11.6003489015508,13.7206338010759
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,9.2927959055643,12.1495672193177
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,11.8693223018449,12.9951440935086
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,10.5763984505438,12.6774204856703
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,11.7496987037703,13.8152095262595
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,9.59952426053675,12.114114018384
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,12.4462308747387,14.1648518038057
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,10.9760432106953,13.1947117003811
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516,12.8134332824868,15.0129995930302
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr12:7239876-34856694,10.0322831892204,12.7471861060223
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835,12.1281866865868,13.745319296002
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472,10.8913215154413,13.2090306212083
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516,12.3193035416466,12.8982517555179
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr12:7239876-34856694,9.44279367910669,10.9909356691813
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:18024675-38818835,11.5111325102608,13.7159765263952
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:51448845-125869472,10.8271157861813,12.9899384367285
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr11:96437584-134946516,12.3325414711977,14.0704388212003
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr12:7239876-34856694,9.16684648052025,12.4978205767894
